"分類: NDC","棚番号-段","タイトル","編著者","発行者","発行年","言語","注記：原著名／仮訳、ISBN等","貴重書","タグ"
"650","07-7","森林と木材を活かす事典 : 地球環境と経済の両立の為の情報集大成
世界木材図鑑 : 世界中で最もよく使用されている用途の広い木材150種を厳選（原タイトル: The encyclopedia of wood）","**/エイダン・ウォーカー 編
乙須 敏紀 訳","産調出版","2007.1
2006.7","","杉尾伸太郎執筆453p
2冊","","#PREC文庫"
"525.1","07-7","建築設計資料集成. 第5","日本建築学会 編","丸善","1972","","杉尾伸太郎執筆193p
内容細目：都市設計,造園,工場・流通関連施設,放射線施設 巻末:参考文献","","#PREC文庫"
"629.41","07-7","岳人別冊　国立公園","","中日新聞東京本社","1971","","杉尾伸太郎共同執筆
本文 国立公園百科--厚生省国立公園部・編集部 /p157～182","","#PREC文庫"
"688","07-7","観光開発計画の手法  (観光基本資料シリーズ 6)","日本観光協会","日本観光協会","1970","","杉尾伸太郎執筆
展望園地Ⅵ-51～58","","#PREC文庫"
"369","07-7","社会還元構想計画　社会福祉活動計画策定を中心に（21世紀の設計シリーズ Ⅺ)","","立正佼成会企画室","1978","","杉尾伸太郎執筆
第3節p120～160","","#PREC文庫"
"291.99","07-7","日本と世界の旅　第200号　1972年6月号
総特集沖縄","","山と渓谷社","1972.6","","杉尾伸太郎執筆
国立公園に指定される西表島の動物たちp20～24","","#PREC文庫"
"602.1","07-7","わが国沿岸開発の展望 : 海洋開発懇談会沿岸開発部会レポート (経団連パンフレット ; no.111)","経済団体連合会","経済団体連合会","1972","","杉尾伸太郎共同執筆
第3章海洋性レクリエーション基地の開発p38～","","#PREC文庫"
"291.23","07-7","鳴子・栗駒・小安峡","一力 次郎 編著","牧野出版社","1975","","杉尾伸太郎執筆
I 栗駒国定公園の自然―地形・地質―p7～20","","#PREC文庫"
"290","07-7","栗駒国定公園への招待","一力 次郎 編著","牧野出版社","1970.4","","杉尾伸太郎執筆
I 栗駒国定公園の自然―地形・地質―p7～20","","#PREC文庫"
"518.8","07-7","景  (｢山河計画」シリーズ ３号)","木原 啓吉, 進士 五十八 編","思考社","1985.5","","杉尾伸太郎執筆
景観調査の方法p172～181","","#PREC文庫"
"462.136","07-7","小笠原の自然
原色写真編・解説編","津山 尚, 浅海 重夫 編著","広川書店　(廣川書店）","1970","","杉尾伸太郎執筆
11.自然景観の分析と計画
内容細目：[第1] 原色写真編 [第2] 解説編","","#PREC文庫
#小笠原"
"629.036","07-7","造園ハンドブック","日本造園学会 編","技報堂出版","1978.11","","杉尾伸太郎執筆
第2編p162～166","","#PREC文庫"
"629","07-7","造園技術大成 : 設計・施工","新田 伸三 [ほか]著","養賢堂","1978.3","","杉尾伸太郎執筆
12.4自然環境アセスメントp699～705
一般注記：監修: 関口鍈太郎","","#PREC文庫"
"629.036","07-7","造園事典","岡崎 文彬 編著","養賢堂","1974","","杉尾伸太郎執筆
自然保護p323～324","","#PREC文庫"
"629","07-7","造園の歴史と文化","京都大学造園学研究室 編","養賢堂","1987.1","","杉尾伸太郎執筆
風景・景観論の展開p427～441","","#PREC文庫"
"629","07-7","高等学校用造園計画","文部科学省 [著]","海文堂出版","2013.2","","杉尾伸太郎写真提供
ベルサイユ宮苑p44","","#PREC文庫"
"627.7","07-7","木の花・木の実  (カラーブックス)","岡本 省吾 著","保育社","1964","","杉尾伸太郎写真提供","","#PREC文庫"
"629","07-7","ランドスケープの展開
(ランドスケープ大系 ; 第1巻)","日本造園学会 編","技報堂出版","1996.11","","杉尾邦江執筆
2.3.4オーストラリア,ニュージーランドの公園都市p156～163","","#PREC文庫"
"518.85","07-7","ランドスケープデザイン
(ランドスケープ大系 ; 第3巻)","日本造園学会 編","技報堂出版","1998.11","","杉尾伸太郎執筆
4.5道路のランドスケープデザインp216～223","","#PREC文庫"
"780.1","07-7","レクリエーション学の方法","日本レクリエーション学会 編","ぎょうせい","1987.4","","杉尾邦江執筆
第5章第2節レクリエーション資源・空間研究の概要p265～282","","#PREC文庫"
"629.22","07-7","中国の園林 2　−南京・江南園林考察団報告書−","日本造園修景協会 編","日本造園修景協会","1987.7","","杉尾邦江執筆
5.「快楽の庭・人間の庭」p35～38","","#PREC文庫"
"332.8","07-7","会社を辞めて成功した男たち
(講談社+α文庫)","大塚 英樹 著","講談社","2000.5","","杉尾伸太郎記事
p180～191","","#PREC文庫"
"335.21","07-7","会社の流儀 厳選100社 : 未来を見据える確かな戦略がここにある. 2017年版","江辺 聡 編著
エスコミュニケーション 責任編集","日本シニアリビング新聞社","2017.3","","杉尾邦江記事
p120～121","","#PREC文庫"
"332.8","07-7","プロの決断　ー勝者の方程式","大塚 英樹 著","リベラルタイム出版社","2005.8","","4000035
杉尾伸太郎記事
p137～139","","#PREC文庫"
"688.033","07-7","観光事典","日本交通公社","日本交通公社","1973","","杉尾邦江執筆
杉尾伸太郎執筆","","#PREC文庫"
"510","07-7","エッセイ集 忙中時々閑話--建設関連業の周辺
（建設関連業月報別冊）","日本交通公社","建設綜合資料社","2000-03","","杉尾伸太郎執筆: p116～120, ｢建設関連業月報｣: 建設関連業出版物刊行会編, 20 (通号 224) 2000.03
","","#PREC文庫"
"290.9","07-7","世界遺産を旅する : 地球の記録. 7 (アメリカ・カナダ・オーストラリア・ニュージーランド)","黒川 直樹 監修
杉尾 邦江 監修","近畿日本ツーリスト","1998.5","","杉尾邦江監修・執筆
3冊","","#PREC文庫"
"369.4","07-7","「こどもの国」のデザイン : 自然・未来・メタボリズム建築 : 「併設」新規収蔵資料紹介 : 令和4年度収蔵品展
Kodomonokuni Children's Land-Nature, Future and Metabolism Architecture","文化庁 監修
文化庁国立近現代建築資料館 編集","文化庁","2022.6","日本語
英語","杉尾邦江写真提供
p12
3冊","","#PREC文庫"
"723.5","07-7","""Art in America"" Vol.55, No.6, 1967","*****","Art in America Co., Inc.","1967.11/12","英語","杉尾邦江関連：こどもの国（イサム･ノグチ設計）の記載あり, P.45","","#PREC文庫"
"709","07-7","世界遺産の普遍的価値    (庭園学講座 16)","京都造形芸術大学日本庭園歴史遺産研究センター","京都造形芸術大学日本庭園・歴史遺産研究センター","2009.8","","","","#PREC文庫"
"611.77","07-7","都市と農業の共生空間の形成に関する計画論的研究","冨田 正彦, 宇都宮大学","","1998","","文部省科学研究費補助金研究成果報告書
杉尾伸太郎執筆
都市の生活環境の変質とゆくえ
p7～21","","#PREC文庫"
"629.21","07-7","追悼　岡崎文彬先生","「岡崎文彬先生追悼集」編集幹事会","「岡崎文彬先生追悼集」編集幹事会","1996.9","","杉尾伸太郎執筆
岡崎先生をしのぶ
p71～74","","#PREC文庫"
"289.1","07-7","佐藤昌 ","一部執筆 : 杉尾伸太郎","佐藤昌先生追想録刊行委員会","2005.7","","杉尾伸太郎の追想記事あり  P.105-106","","#PREC文庫"
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"629.21","08-1","日本庭園史大系　34　別1　全国庭園史年表　他 ","重森 三玲 著","社会思想社","1976.8","","日本庭園史年表他","",""
"629.21","08-1","日本庭園史大系　35　別2　全国庭園所在一覧　他 ","重森 三玲 著","社会思想社","1976.8","","全国庭園所在一覧他","",""
"","","","","","","","","",""
"291.62","08-1","新修 京都叢書  第1巻  京童･京童跡追・洛陽名所集・京雀","中川 喜雲 編 / 山本泰順 編 / 浅井了意 編","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","限定出版300部,　覆刻","",""
"291.62","08-1","新修 京都叢書  第2巻  扶桑京華志・日次紀事・山城名所寺社物語,都花月名所","松野 元敬 編 / 黒川 道祐 編 / 秋里 離島 編","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","","",""
"291.62","08-1","新修 京都叢書  第3巻  近畿歴覧記・雍州府志","黒川 道祐 著　","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1967","","","",""
"291.62","08-1","新修 京都叢書  第4巻  出来斉京土産・京師巡覧集","出来斉 編 / (僧)丈愚 編","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","","",""
"291.62","08-1","新修 京都叢書  第5巻  菟芸泥赴・京城勝覧・洛陽十二社霊験記","北村 季吟 編 / 貝原 篤信 編 / 松浦 星洲 編","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","","",""
"291.62","08-1","新修 京都叢書  第6巻  京羽二重・京羽二重織留大全","孤松子 編 / 孤松子 編","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","","",""
"291.62","08-1","新修 京都叢書  第7巻  山城名勝志  乾","大島 武好 編","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","","",""
"291.62","08-1","新修 京都叢書  第8巻  山城名勝志  坤","大島 武好 編","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","","",""
"291.62","08-1","新修 京都叢書  第9巻  名所都鳥・堀川の水・都名所車・京内まいり","著者不詳 / 富尾 似船 編 / 著者不詳 / 守拙斎 編","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","「名所都鳥」, 「都名所車」は著者不詳 ","",""
"291.62","08-1","新修 京都叢書  第10巻  山城名跡巡行志・京町鑑","(僧)浄慧 編 / 白露 編","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","","",""
"291.62","08-1","新修 京都叢書  第11巻  都名所図会","秋里 籬島 編","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","","",""
"291.62","08-1","新修 京都叢書  第12巻  都名所図会拾遺","秋里 籬島 編","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","付: 平安京之図(1枚","",""
"291.62","08-1","新修 京都叢書  第13巻  京都坊目誌  首巻","碓井 小三郎 編","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","","",""
"291.62","08-1","新修 京都叢書  第14巻  京都坊目誌  上京  乾","碓井 小三郎 編","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","","",""
"291.62","08-1","新修 京都叢書  第15巻  京都坊目誌  上京  坤","碓井 小三郎 編","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","","",""
"291.62","08-1","新修 京都叢書  第16巻  京都坊目誌  下京  乾","碓井 小三郎 編","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","","",""
"291.62","08-1","新修 京都叢書  第17巻  京都坊目誌  下京  坤","碓井 小三郎 編","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","","",""
"291.62","08-1","新修 京都叢書  第18巻  山州名跡志  乾","釈 白慧 編","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","","",""
"291.62","08-1","新修 京都叢書  第19巻  山州名跡志  坤","釈 白慧 編","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","","",""
"291.62","08-1","新修 京都叢書  第20巻  総索引","新修京都叢書刊行会 編 ","光彩社(京都)、発行者: 新修京都叢書刊行会 ","1968.8","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"291.62","08-2","新撰京都名所図会  巻1   東山の部","竹村 俊則 著","白川書院 (京都)","1958 ","","","",""
"291.62","08-2","新撰京都名所図会  巻2   北山・西山の部","竹村 俊則 著","白川書院 (京都)","1959 ","","","",""
"291.62","08-2","新撰京都名所図会  巻3   洛中の部 第1","竹村 俊則 著","白川書院 (京都)","1961 ","","","",""
"291.62","08-2","新撰京都名所図会  巻4   洛中の部 第2","竹村 俊則 著","白川書院 (京都)","1962 ","","","",""
"291.62","08-2","新撰京都名所図会  巻5   洛南の部 第1","竹村 俊則 著","白川書院 (京都)","1963 ","","","",""
"291.62","08-2","新撰京都名所図会  巻6   洛南の部 第2","竹村 俊則 著","白川書院 (京都)","1965","","","",""
"291.62","08-2","新撰京都名所図会  巻7   索引","竹村 俊則 著","白川書院 (京都)","1965","","","",""
"","","","","","","","","",""
"291.62","08-2","昭和京都名所図会  巻1   洛東  上
　（昭和京都名所圖會）","竹村 俊則 著","駸々堂出版 (京都)","1980.6","","「新撰京都名所圖會」を書き改め,新しく公刊したもの --序による","",""
"291.62","08-2","昭和京都名所図会  巻2   洛東  下
　（昭和京都名所圖會）","竹村 俊則 著","駸々堂出版 (京都)","1981.10","","「新撰京都名所圖會」を書き改め,新しく公刊したもの --序による","",""
"291.62","08-2","昭和京都名所図会  巻3   洛北
　（昭和京都名所圖會）","竹村 俊則 著","駸々堂出版 (京都)","1989.7","","「新撰京都名所圖會」を書き改め,新しく公刊したもの --序による","",""
"291.62","08-2","昭和京都名所図会  巻4   洛西
　（昭和京都名所圖會）","竹村 俊則 著","駸々堂出版 (京都)","1983.11","","「新撰京都名所圖會」を書き改め,新しく公刊したもの --序による","",""
"291.62","08-2","昭和京都名所図会  巻5   洛中 
　（昭和京都名所圖會）","竹村 俊則 著","駸々堂出版 (京都)","1984.11","","「新撰京都名所圖會」を書き改め,新しく公刊したもの --序による","",""
"291.62","08-2","昭和京都名所図会  巻6   洛南
　（昭和京都名所圖會）","竹村 俊則 著","駸々堂出版 (京都)","1986.1","","「新撰京都名所圖會」を書き改め,新しく公刊したもの --序による","",""
"291.62","08-2","昭和京都名所図会  巻7    南山城
　（昭和京都名所圖會）","竹村 俊則 著","駸々堂出版 (京都)","1989.6","","「新撰京都名所圖會」を書き改め,新しく公刊したもの --序による","",""
"","","","","","","","","",""
"291.08","08-2","日本名所図会全集 1   江戸名所図会  巻1
（日本名所圖會全集）","斎藤 幸成 等編, 長谷川 雪旦, 長谷川 雪提 画","名著普及会","1975","","『日本図会全集』 (日本随筆大成刊行会昭和3年刊) の複製 ","","#江戸べらぼう"
"291.08","08-2","日本名所図会全集 2   江戸名所図会  巻2
（日本名所圖會全集）","斎藤 幸成 等編, 長谷川 雪旦, 長谷川 雪提 画","名著普及会","1975","","『日本図会全集』 (日本随筆大成刊行会昭和3年刊) の複製 ","","#江戸べらぼう"
"291.08","08-2","日本名所図会全集 3   江戸名所図会  巻3
（日本名所圖會全集）","斎藤 幸成 等編, 長谷川 雪旦, 長谷川 雪提 画","名著普及会","1975","","『日本図会全集』 (日本随筆大成刊行会昭和3年刊) の複製 ","","#江戸べらぼう"
"291.08","08-2","日本名所図会全集 4   江戸名所図会  巻4
（日本名所圖會全集）","斎藤 幸成 等編, 長谷川 雪旦, 長谷川 雪提 画","名著普及会","1975","","『日本図会全集』 (日本随筆大成刊行会昭和3年刊) の複製 
現在のところ所蔵なし","","#江戸べらぼう"
"291.08","08-2","日本名所図会全集 5   東海道名所図会  上巻
（日本名所圖會全集）","秋里 舜福 編, 竹原 春朝斎 等画","名著普及会","1975","","『日本図会全集』 (日本随筆大成刊行会昭和3年刊) の複製 ","",""
"291.08","08-2","日本名所図会全集 6   東海道名所図会  下巻
（日本名所圖會全集）","秋里 舜福 編, 竹原 春朝斎 等画","名著普及会","1975","","『日本図会全集』 (日本随筆大成刊行会昭和3年刊) の複製 ","",""
"291.08","08-2","日本名所図会全集 7   都林泉名勝図会
（日本名所圖會全集）","秋里 籠島 撰, 佐久間 草偃 等画","名著普及会","1975","","『日本図会全集』 (日本随筆大成刊行会昭和3年刊) の複製 ","",""
"291.08","08-2","日本名所図会全集 8   日本山海名産図会･日本山海名物図会   （日本名所圖會全集）","蔀 関月画 / 平瀬 徹斎 編, 長谷川 光信 画","名著普及会","1975","","『日本図会全集』 (日本随筆大成刊行会昭和3年刊) の複製 ","",""
"291.08","08-2","日本名所図会全集 9   芸州厳島図会 上巻
（日本名所圖會全集）","岡田 清 等編, 山野 守嗣 画","名著普及会","1975","","『日本図会全集』 (日本随筆大成刊行会昭和3年刊) の複製 ","",""
"291.08","08-2","日本名所図会全集 10  芸州厳島図会 下巻
（日本名所圖會全集）","岡田 清 等編, 山野 守嗣 画","名著普及会","1975","","『日本図会全集』 (日本随筆大成刊行会昭和3年刊) の複製 ","",""
"291.08","08-2","日本名所図会全集 11   伊勢参宮名所図会
（日本名所圖會全集）","蔀 関月 編","名著普及会","1975","","『日本図会全集』 (日本随筆大成刊行会昭和3年刊) の複製 ","",""
"291.08","08-2","日本名所図会全集 12   都名所図会
（日本名所圖會全集）","秋里 舜福 編, 竹原 信繁 画","名著普及会","1975","","『日本図会全集』 (日本随筆大成刊行会昭和3年刊) の複製 ","",""
"291.08","08-2","日本名所図会全集 13   拾遺都名所図会
（日本名所圖會全集）","秋里 舜福 編, 竹原 信繁 画","名著普及会","1975","","『日本図会全集』 (日本随筆大成刊行会昭和3年刊) の複製 ","",""
"291.08","08-2","日本名所図会全集 14   日光山志･日本名山図会
（日本名所圖會全集）","植田 孟縉 編, 谷 文晁 著","名著普及会","1975","","『日本図会全集』 (日本随筆大成刊行会昭和3年刊) の複製 ","",""
"","","","","","","","","",""
"629.21","08-2","京都名園記  上巻 ","久恒 秀治 著","誠文堂新光社","1967","","","",""
"629.21","08-2","京都名園記  中巻 ","久恒 秀治 著","誠文堂新光社","1968","","","",""
"629.21","08-2","京都名園記  下巻 ","久恒 秀治 著","誠文堂新光社","1969","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"291.361","08-3","切絵図・現代図で歩く江戸東京散歩 : 江戸開府400年記念保存版      (古地図ライブラリー  別冊)","人文社 企画・編集","人文社","2002.10","","","","#江戸べらぼう"
"291.361","08-3","明治の東京 : 江戸から東京へ 古地図で見る黎明期の東京      (古地図ライブラリー  4)","人文社第一編集部 解説・編","人文社","1996.9","","","",""
"721.8","08-3","増補版　 葛飾北斎冨嶽三十六景を読む","有泉 豊明 正真解説","目の眼","2014.11","","","","#江戸べらぼう"
"216.2","08-3","幕末・維新　彩色の京都","白幡 洋三郎 著, 京都新聞出版センター 編","京都新聞出版センター","2004.4","","1995～1996年に京都新聞に連載した明治初期のモノクロ写真を着色した｢彩色写真｣。","",""
"629.21","08-3","名園の見どころ : 日本庭園160を解説","河原 武敏 著","東京農業大学出版会","1996.6","","改訂版","",""
"629.21","08-3","全国庭園ガイドブック","京都林泉協会 編","誠文堂新光社","1966.12","","","",""
"629.21","08-3","日本の庭","福田 和彦 著","河出書房新社","1962","","","",""
"290.13","08-3","失われた景観 : 名所が語る江戸時代","長谷川 成一 著","吉川弘文館","1996.2","","","",""
"291.018","08-3","古地図と風景","矢守 一彦 著","筑摩書房","1984.9","","","",""
"629.21","08-3","近江の名園    (Suiko books  154)","渡部 巌 写真, 光村推古書院編集部 編","光村推古書院(京都)","2009.11","","別ﾀｲﾄﾙ: Gardens of Ohmi","",""
"291.82","08-3","栗林公園　","藤田 勝重 著","学苑社","1974","","","",""
"629.21","08-3","特別名勝　栗林公園","香川県栗林公園観光事務所 編","香川県栗林公園観光事務所(高松)","1996.10","","","",""
"911.123","08-3","万葉集枕詞辞典","朴 炳植 著","小学館","1990.4","","","",""
"911.147","08-3","百人一首万華鏡","白幡洋三郎 編","思文閣出版(京都)","2005.1","","","",""
"911.108","08-3","天橋立百人一首","丹後歌人会 選歌, 栗田美也子 絵, 天橋立百人一首の会 監修","あまのはしだて出版(宮津)","1988.10","","函あり。","",""
"721.025","08-3","都市を描く : 京都と江戸 　(平成23年度人間文化研究機構連携展示)","国立歴史民俗博物館, 国文学研究資料館 編","人間文化研究機構","2012.3","","企画展 図録, 正誤表1枚
会期・会場: 2012年3月27日-5月6日 国立歴史民俗博物館ほか","","#江戸べらぼう"
"721.4","08-3","洛中洛外図屏風に描かれた世界","群馬県立歴史博物館, 米沢市上杉博物館, 林原美術館, 立正大学文学部 編","三館共同企画展『洛中洛外図屏風に描かれた世界』プロジェクトチーム","2011.3","","企画展 図録
会期・会場: 平成23年3月5日-4月10日 群馬県立歴史博物館ほか","",""
"721.4 ","08-3","京の雅び : 洛中洛外の世界","林原美術館 編集","林原美術館(岡山)","2004.9","","会期: 平成16年9月5日(日)-10月3日(日)","",""
"291.361","08-3","江戸百景今昔 : 江戸を楽しみ、大正を知り、現代を歩く","大野光政 著","本の泉社","2009.4","","","","#江戸べらぼう"
"721.8","08-3","江戸切絵図で歩く広重の大江戸名所百景散歩 : 嘉永・安政江戸の風景119      (古地図ライブラリー 3)","堀 晃明 著","人文社","1996.4","","ISBN: 479591902X","","#江戸べらぼう"
"291.36","08-3","嘉永・慶応江戸切絵図 : 江戸・東京今昔切絵図散歩      (古地図ライブラリー 1)","監修・解説: 師橋 辰夫","人文社","1995.8","","尾張屋清七板の複製
ISBN: 4-7959-1350-1","","#江戸べらぼう"
"518.8","08-3","まちの個性を、どう読み解くか : 東海道筋まち並み町づくり","塩見 寛 著","静岡新聞社","2001.8","","","",""
"291.62","08-3","彩色みやこ名勝図会 : 江戸時代の京都遊覧","白幡 洋三郎 著, 京都新聞社 編","京都新聞出版センター","2009.4","","","",""
"721.4","08-3","デジタル洛中洛外図屏風「島根県美本」: パソコンで旅する江戸時代の京都","奥平 俊六, 関口 敦仁 監修","淡交社","2009.11","","","",""
"291.62","08-3","都名所図会を読む","宗政 五十緒 編","東京堂出版","1997.3","","","",""
"216.2","08-3","京都名所図会 : 絵解き案内","宗政 五十緒,  西野 由紀 著","小学館","1997.5","","","",""
"291.62","08-3","京の名所図会を読む","宗政 五十緒 編","東京堂出版","1998.9","","","",""
"721.025","08-3","泥絵で見る大名屋敷      (Gakken graphic books deluxe  37)","平井 聖 監修・執筆,  浅野 伸子 執筆","学習研究社","2004.2","","幕末に西洋画の遠近技法を取り入れ、泥絵の具で描かれたすぐれた大名屋敷の絵がある。埋没していたコレクションを発掘紹介する。（提供元: 出版情報登録センター（JPRO））","",""
"721.025 ","08-3","江戸図屏風の謎を解く　　(角川選書 471)","黒田 日出男 著","角川学芸出版, 	角川グループパブリッシング (発売)","2010.6","","","",""
"629.21","08-3","大名庭園を楽しむ: お江戸歴史探訪
(朝日新書 ; 193)","安藤優一郎 著","朝日新聞出版","2009.8","","","","#江戸べらぼう"
"721.83","08-3","江戸のなかの近代 : 秋田蘭画と『解体新書』","監修: 高階秀爾 ","筑摩書房","1996.12","","","",""
"779.13","08-3","江戸芸能・落語地名辞典  上 (あ～そ) ","北村 一夫 著","六興出版","1985.3","","","",""
"779.13","08-3","江戸芸能・落語地名辞典  下 (た～わ) ","北村 一夫 著","六興出版","1985.3","","","",""
"210.5","08-3","江戸のなりたち 1  江戸城・大名屋敷","追川 吉生 著","新泉社","2007.8","","","","#江戸べらぼう"
"210.5","08-3","江戸のなりたち 2  武家屋敷・町屋","追川 吉生 著","新泉社","2007.11","","","","#江戸べらぼう"
"210.5","08-3","江戸のなりたち 3  江戸のライフライン","追川 吉生 著","新泉社","2008.4","","","","#江戸べらぼう"
"518.8","08-3","江戸東京のみかた調べかた","陣内 秀信 ＋ 法制大学・東京のまち研究会 著","鹿島出版会","1989.2","","","",""
"682.1","08-3","江戸の旅　　　(岩波新書  黄-349)","今野 信雄 著","岩波書店","1986.8","","384.37 : 社会・家庭生活の習俗","",""
"689.21","08-3","観光都市江戸の誕生      (新潮新書)","安藤 優一郎 著","新潮社","2005.6","","","",""
" 213.6","08-3","地名で読む江戸の町       (PHP文庫  お72-1)","大石 学 著","PHP研究所","2013.11","","2001年刊の加筆・修正 ","",""
"291.361","08-3","お江戸の地名の意外な由来      (PHP文庫)","中江 克己 著","PHP研究所","2002.9","","","",""
"629.21","08-3","東京鎌倉横浜名庭を歩く : 江戸の庭園文化を訪ねて      (JTBキャンブックス)","[大和田秀樹写真],  庭園紹介執筆: 高橋 裕一, 桜田 通雄, 野村 勘治 ","日本交通公社出版事業局","1996.3","","","",""
"629.21","08-3","四季東京 : 新宿御苑写真集","楳村 修治 著","ナビ出版","2002.12","","","",""
"291.62","08-3","都林泉名勝図会 : 京都の名所名園案内　上  -巻之一 乾 巻之一 坤 巻之二   (講談社学術文庫)","秋里籬島 著, 白幡 洋三郎 監修","講談社","1999.12","","巻之一 乾巻之一 坤巻之二ｃ","",""
"291.62","08-3","都林泉名勝図会 : 京都の名所名園案内　下  -巻之三 巻之四 巻之五   (講談社学術文庫)","秋里籬島 著, 白幡 洋三郎 監修","講談社","2000.5","","","",""
"","","","","","","","","",""
"291.36","08-3","東京の坂道 : 生きている江戸の歴史","石川 悌二 著","新人物往来社","1971","","","",""
"454.9136","08-3","東京「スリバチ」地形散歩 : 凹凸を楽しむ    多摩武蔵野編 ","皆川 典久 著","洋泉社","2012.2","","","",""
"453.4","08-3","地名に隠された「東京津波」       (講談社+α新書  580-1C)","谷川彰英 著","講談社","2012.1","","約90年前の地図をもとに、明治から大正期までの東京の状態や、人々の生活と土地との深いかかわりを紹介。","",""
"682.1","08-3","道と日本史      (日経プレミアシリーズ  510)","金田 章裕 著","日経BP, 日本経済新聞出版","2024.3","","","",""
"291.62","08-3","京都の散歩みち      (山渓文庫)","上野 瞭 ほか著","山と渓谷社","1968.2","","","",""
"629.21","08-3","「東京人」 17(6), (通号 179) 　 特集・なごめる、憩う 庭とお屋敷見学ブック　　","","都市出版","2002.6","","","",""
"210.5","08-3","「東京人」no.340   特集「あの大名屋敷はいま」 : 150年の変遷を歩く ","竹内 誠  ほか著","都市出版","2014.6","","第29巻7号(通巻340号) 2014年6月号 ","",""
"291.36","08-3","東京を描く","安西 啓明 著","朝日新聞社","1974","","","",""
"291.04","08-3","ノノさんのぶらぶら地図学","野々村 邦夫 著","実業之日本社","2004.12","","","",""
"213.6 ","08-3","アースダイバー","中沢 新一 著","講談社","2005.5","","","",""
"291.013","08-3","地理の風景 : 古代から現代まで : 地理写真集","石井 實 著","大明堂","1999.9","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"748","08-4","日本の風景　ー自然公園50周年記念・国立公園写真集","環境庁自然保護局 監修,  ㈶国立公園協会 編集","ぎょうせい","1981.10","","","",""
"291.51","08-4","富士山 : 信仰と芸術の源","富士山世界文化遺産登録推進静岡・山梨両県合同会議, 富士山を世界遺産にする国民会議 [編]","小学館","2009.4","","英文併記, 
別タイトル: Mt.Fuji","",""
"629.21","08-4","日本の名勝  第1巻   庭園 1","監修: 井上 靖, 東山 魁夷, 吉川 需 編著","講談社","1983.9","","","",""
"629.21","08-4","日本の名勝  第2巻   庭園 2","監修: 井上 靖, 東山 魁夷, 吉川 需 編著","講談社","1983.12","","","",""
"709","08-4","「ビジュアル・ワイド」世界遺産","青柳 正規 監修","小学館","2003.12","","","",""
"290.9","08-4","世界遺産の旅 : 地球紀行      (小学館green mook)","**","小学館","2000.5","","","",""
"290.9","08-4","世界の景観","田村 剛 著","修道社","1961","","","",""
"721.7","08-4","日本名山図会","谷 文晁 著","国書刊行会	","1970","","文化9年刊の複製 ","",""
"629.21","08-4","『日本工藝』　第9號","日本工藝会","芸艸堂( 京都府)うんそうどう","1956.6","","特集:日本建築の窓
(「日本庭園」巻3に綴じてある)","",""
"629.21","08-4","日本公園百年史　総論・各論","日本公園百年史刊行会 編","日本公園百年史刊行会 ","1978","","","",""
"629.21","08-4","日本公園百年史　附表","日本公園百年史刊行会 編","日本公園百年史刊行会 ","1978","","","",""
"629.21","08-4","『日本庭園』　第1號～第10號","京都林泉協会 監修(3號まで)","林泉刊行会 (京都府)(→6號から庭園刊行会)","1956.9～1958.9(昭和31.9～33.9）","","重森三玲･完途, 田村剛, 中根金作, ほか執筆","",""
"629.21","08-4","『日本庭園』　第11號～第20號","庭園刊行会","庭園刊行会","1958.12～1961.4","","田畑貞寿、森恩","",""
"629.21","08-4","『日本庭園』　第21號～第30號","庭園刊行会","庭園刊行会","1956.9～1964.3","","第23號, P12-15, 1962.3：杉尾伸太郎「造園計画における生態学的な考え方」","",""
"291.08","08-4","都林泉名勝図会","井口 洋 校訂 (秋里 篭島 撰, 佐久間 草偃･西村 中和･奥 文鳴 ほか画, 櫻井 庄吉 編集)","柳原書店","1975.6","","秋里 籬島 (江戸後期),     京都市--史跡名勝 ","",""
