"分類: NDC","棚番号-段","タイトル","編著者","発行者","発行年","言語","注記：原著名／仮訳、ISBN等","貴重書","タグ"
"629.21","01-3","Landscape gardening in Japan : By Josiah Conder F.R.I.B.A., With numerous illustrations","by Josiah Conder ","Kelly & Walsh (Yokohama),  printed by the Hakubunsha (Ginza) ","1893","英語","2v.
Josiah Conder, 1852-1920","",""
"629.21","01-3","Supplement to Landscape gardening in Japan : by Josiah Conder F.R.I.B.A., with collotypes by K. Ogawa","by Josiah Conder ; with collotypes by K. Ogawa","Published and sold by Kelly & Walsh (Yokohama),  printed by the Hakubunsha (Ginza) ","1893","英語","Josiah Conder, 1852-1920
小川 一真, 1860-1929 ","",""
"629.21","01-3","Landscape Gardening in Japan : The 100-Year-Old Classic : with the auther's 1912 supplement to Landscape gardening in Japan
　(別タイトル：日本庭園入門)","by Josiah Conder, foreword by Azby Brown, afterword by Terunobu Fujimori","Kodansya International Ltd.
講談社インターナショナル","2002.4","英語","英文のみ。1893の復刻。藤森照信氏による「ジョサイア･コンドルと日本」も巻末に収録。","",""
"","","","","","","","","",""
"","","","","","","","","",""
"523.35","01-4","ヴェルサイユ宮殿     Chateau de Versailles ","Sanjiro Minamikawa (南川 三治郎) 著, 監修: ベアトリックス・ソウル, 清水 敏男","黙出版（株）","2001.1","日本語, 英文併記","写真集(付:ﾘｽﾄ)+解説の2分冊, 外箱入
ISBN: 4-900682-54-3","",""
"629.234","01-4","Andeutungen über Landschaftsgärtnerei : verbunden mit der Beschreibung ihrer praktischen Anwendung in Muskau","Hermann von Pückler Muskau ; mit Kimmentaren von Anne Schäfer und Steffi Wendel","Deutsche Verlags-Anstalt","1996(1987)","ドイツ語","ISBN:3421028729
Plates, Text, Kommentare and maps in box
「ヘルマン・フォン・ピュックラー＝ムスカウの庭園手彩色の地図帳","貴重書",""
"291.62","01-4","京郊名勝　　(和装本, 布帙)","京都府","京都府","1928.11","","高御座/ 第一, 京都皇宮建礼門/ 第二, 京都皇宮紫宸殿/ 第三, 京都皇宮清涼殿/ 第四, 京都皇宮御池庭/ 第五, 仙洞御所御庭其一/ 第六, ・・・・・



","",""
"629.21","01-4","日本の名園","重森 三玲 著,  大橋 治三 撮影","誠文堂新光社","1969","","限定版 ","",""
"","","","","","","","","",""
"","","","","","","","","",""
"121.9","01-5","風土 : 人間学的考察","和辻 哲郎 (1889-1960) 著","岩波書店","1963","","改版","",""
"219.9","01-5","〈流求国〉と〈南島〉 : 古代の日本史と沖縄史　　(シリーズ沖縄史を読み解く 2)","来間 泰男 著","日本経済評論社","2012.10","","","",""
"291.99","01-5","大琉球島航海記     (増補改訂版)","バズィル・ホール著(Hall, Basil),  須藤 利一 訳","琉球新報社","1955.10","","","",""
"291.99","01-5","ペルリ提督 琉球訪問記","神田 精輝 訳,  Perry, Matthew Calbraith (1794-1858)","神田精輝 (大分県杵築町),  国書刊行会","1926(大正15)","","","",""
"726.501","01-5","おかしなジパング図版帖 = Jipangu Unseen, yet Curiously Portrayed by Arnoldus Montanus ：オンタヌスが描いた驚異の王国　","宮田 珠巳 著","PIE : パイインターナショナル","2013.4","","","",""
"291.09","01-5","イザベラ･バード『日本奥地紀行』を歩く　(楽学ブックス  文学歴史 11)","金沢 正脩 著","JTBパブリッシング","2010.1","","","",""
"291.099","01-5","日本奥地紀行　(東洋文庫 240)","イザベラ･バード著 (Bird, Isabella Lucy, 1831-1904)、高梁 健吉 訳","平凡社","1973　","","","",""
"291.099","01-5","江戸参府旅行日記　(東洋文庫 303)","ケンペル著 (Kaempfer, Engelbert, 1651-1716)、斎藤 信 訳","平凡社","1977.2","","","",""
"291.09","01-5","フェノロサ夫人の日本日記 ー世界一周･京都へのハネムーン、1896年　(シリーズ  人と文化の探求 4)","フェノロサ夫人 著 (Fenollosa, Mary McNeil),  村形 明子 編訳","ミネルヴァ書房","2008.12","","Fenollosa, Mary McNeil, 1865-1954","",""
"210.48","01-5","完訳フロイス日本史  1～3  (織田信長篇 1-3)　　　(中公文庫)","ルイス・フロイス (Fróis, Luís) [著],  松田 毅一, 川崎 桃太 訳","中央公論新社","2000.1","","Fróis, Luís,  -1597","",""
"210.48","01-5","完訳フロイス日本史   4～5  (豊臣秀吉篇 1-2)　　　(中公文庫)","ルイス・フロイス (Fróis, Luís) [著],  松田 毅一, 川崎 桃太 訳","中央公論新社","2000.4","","","",""
"210.48","01-5","完訳フロイス日本史   6～8  (大友宗麟篇 1-3)　　　(中公文庫)","ルイス・フロイス (Fróis, Luís) [著],  松田 毅一, 川崎 桃太 訳","中央公論新社","2000.6","","","",""
"210.48","01-5","完訳フロイス日本史   9～12  (大村純忠・有馬晴信篇 1-4)　　　(中公文庫)","ルイス・フロイス (Fróis, Luís) [著],  松田 毅一, 川崎 桃太 訳","中央公論新社","2000.9","","","",""
"291.09","01-5","イザベラ・バードの日本紀行  上・下　　(講談社学術文庫)","イザベラ・バード 著, 時岡 敬子 訳","講談社","2008.4","","Bird, Isabella Lucy, 1831-1904","",""
"291.09","01-5","幕末日本探訪記 : 江戸と北京        (講談社学術文庫)","ロバート・フォーチュン 著, 三宅 馨 訳","講談社","1997.12","","Fortune, Robert, 1813-1880 ( 00439885 )","",""
"210.67","01-5","英国貴族の見た明治日本　(原タイトル: The Garter mission to Japan )","A.B.ミットフォード著、長岡 祥三 訳","新人物往来社","1986.7","","","",""
"210.52","01-5","ケンペルのみた日本　(NHKブックス 762)","ヨーゼフ･クライナー著 ( Kreiner, Josef)","日本放送出版協会","1996.3","","Kreiner, Josef, 1940-　","",""
"291.09","01-5","ゴードン･スミスの見た明治の日本  : 日露戦争と大和魂 　(角川選書　411)","伊井 春樹 著","角川学芸出版、角川グループパブリッシング","2007.7","","","",""
"361.5","01-5","風土の日本 : 自然と文化の通態　(原タイトル: Le sauvage et l'artifice )","オギュスタン･ベルク著、篠田 勝英 訳","筑摩書房","1988.9","","Berque, Augustin, 1942- ","",""
"290.1 ","01-5","風土学序説 : 文化をふたたび自然に、自然をふたたび文化に　　( 原タイトル: Écoumène ） ","オギュスタン･ベルク著 (Berque, Augustin, 1942-)、中山 元 訳","筑摩書房","2002.1","","","",""
"290.13","01-5","日本の風景・西欧の景観 : そして造景の時代 　(講談社現代新書)","オギュスタン･ベルク著 (Berque, Augustin, 1942-)","講談社","1990.6","","","",""
"361.5","01-5","空間の日本文化","オギュスタン･ベルク (Berque, Augustin) 著, 宮原 信 訳","筑摩書房","1985.6",""," (Berque, Augustin, 1942-)","",""
"361.78","01-5","都市のコスモロジー : 日・米・欧都市比較      (講談社現代新書)","オギュスタン・ベルク(Berque, Augustin) 著,  篠田 勝英 訳","講談社","1993.11","","Berque, Augustin, 1942-","",""
"302.1","01-5","犬と鬼 : 知られざる日本の肖像","アレックス・(Kerr, Alex) 著","講談社","2002.4","","","",""
"629.4132","01-5","日光観光物語 : 自然風景地の美と用を求めて ","永嶋 正信 著","東京農業大学出版会","1992.12","","","",""
"210.37","01-5","藤原道長「御堂関白記」を読む       (講談社学術文庫  2790)","倉本 一宏 著","講談社","2023.11","","","",""
"210.37","01-5","紫式部と藤原道長       (講談社現代新書)","倉本 一宏 著","講談社","2023.9","","","",""
"322.14","01-5","御成敗式目 : 鎌倉武士の法と生活       (中公新書  2761)","佐藤 雄基 著","中央公論新社","2023.7","","","",""
"289.1","01-5","信長公記 : 戦国覇者の一級史料　　(中公新書  2503)","和田 裕弘 著","中央公論新社","2018.8","","","",""
"289.1","01-5","信長公記 : 現代語訳       (新人物文庫  お-11-1)","太田 牛一 著, 中川 太古 訳","KADOKAWA","2013.10","","","",""
"629.4 ","01-5","アメリカ国立公園考","東 良三 著","淡路書房","1948","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"291.33","01-6","カラー　尾瀬　(山渓カラーガイド 6)","山と渓谷社","山と渓谷社","1967","","","",""
"519.81","01-6","尾瀬までの道 : 緑と軍縮を求めて","大石 武一 著","サンケイ出版","1982.3","","","",""
"291.33 ","01-6","尾瀬　ひびきあう生命","百武 充 著","立風書房","1996.9","","","",""
"289.1","01-6","尾瀬に死す","平野 長靖 著","新潮社","1972","","","",""
"519.8126","01-6","尾瀬：自然保護運動の原点　ー福島県自然保護協会の歩みー","福島県自然保護協会 編","東京新聞出版局","1993.8","","","",""
"","","","","","","","","",""
"457.8","01-6","象のきた道　(中公新書)","亀井 節夫 著","中央公論社","1978.8","","","",""
"779.4","01-6","江戸の見世物　(岩波新書)","川添 裕 著","岩波書店","2000.7","","","","#江戸べらぼう"
"210.55","01-6","享保十四年、象、江戸へゆく","和田 実 著","岩田書院","2015.2","","","","#江戸べらぼう"
"210.55","01-6","象の旅　ー長崎から江戸へ","石坂 昌三 著","新潮社","1992.5","","","","#江戸べらぼう"
"180.4","01-6","白象の普賢","玉城  康四郎 著","春秋社","1979.4","","","",""
